"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2024","21.50","22.00","22.90","21.05","18.38M","-2.27%"
"03/08/2024","21.90","21.50","22.90","21.50","26.19M","1.86%"
"03/11/2024","23.00","21.90","23.40","22.55","21.58M","5.02%"
"03/12/2024","25.30","23.00","25.30","23.60","31.96M","10.00%"
"03/13/2024","25.90","25.30","27.50","25.30","21.29M","2.37%"
"03/14/2024","24.90","25.90","25.90","24.90","11.44M","-3.86%"
"03/15/2024","24.30","24.90","25.00","24.30","9.11M","-2.41%"
"03/18/2024","25.45","24.30","26.00","24.80","46.23M","4.73%"
"03/19/2024","25.85","25.45","26.50","25.50","36.85M","1.57%"
"03/20/2024","26.35","25.85","26.80","25.95","29.08M","1.93%"
"03/21/2024","27.00","26.35","27.60","26.35","63.88M","2.47%"
"03/22/2024","27.00","27.00","28.00","27.00","33.39M","0.00%"
"03/25/2024","26.30","27.00","27.00","26.25","19.54M","-2.59%"
"03/26/2024","26.65","26.30","26.90","26.30","51.47M","1.33%"
"03/27/2024","27.80","26.65","28.00","26.50","49.68M","4.32%"
"03/28/2024","28.00","27.80","28.50","27.30","54.94M","0.72%"
"04/02/2024","28.00","28.00","28.40","27.50","65.49M","0.00%"
"04/03/2024","27.50","28.00","28.10","27.50","49.01M","-1.79%"
"04/04/2024","26.50","27.50","27.50","26.35","47.82M","-3.64%"
"04/05/2024","26.50","26.50","26.90","26.00","51.38M","0.00%"
"04/08/2024","25.15","26.50","26.40","25.15","9.03M","-5.09%"
"04/12/2024","26.30","26.90","27.45","26.30","148.88M","4.57%"
"04/15/2024","25.00","26.65","27.00","25.00","42.25M","-4.94%"
"04/16/2024","23.00","25.00","25.00","22.90","45.63M","-8.00%"
"04/17/2024","22.75","23.00","24.00","22.75","55.01M","-1.09%"
"04/18/2024","22.70","22.75","23.20","22.65","28.45M","-0.22%"
"04/19/2024","22.70","22.70","23.00","22.70","38.72M","0.00%"
"04/22/2024","22.85","22.70","23.70","22.75","41.75M","0.66%"
"04/23/2024","23.00","22.85","23.50","22.90","55.49M","0.66%"
"04/24/2024","22.70","23.00","23.30","22.70","41.60M","-1.30%"
"04/25/2024","22.80","22.70","23.00","22.75","22.94M","0.44%"
"04/26/2024","23.00","22.80","23.40","22.90","42.35M","0.88%"
"04/29/2024","23.25","23.00","23.50","23.00","34.56M","1.09%"
"04/30/2024","23.90","23.25","24.70","23.30","22.45M","2.80%"
"05/02/2024","25.00","23.90","25.15","24.15","12.54M","4.60%"
"05/03/2024","25.80","25.00","26.15","25.00","32.90M","3.20%"
"05/06/2024","26.00","25.80","27.00","25.80","40.40M","0.78%"
"05/07/2024","26.00","26.00","26.80","25.80","102.23M","0.00%"
"05/08/2024","26.00","26.00","26.20","25.50","79.98M","0.00%"
"05/09/2024","26.15","26.00","26.15","25.75","130.96M","0.58%"
"05/10/2024","26.40","26.15","27.45","25.80","90.12M","0.96%"
"05/13/2024","23.55","25.00","25.00","23.00","37.28M","-10.80%"
"05/14/2024","23.00","23.55","23.55","22.75","22.52M","-2.34%"
"05/15/2024","22.00","23.00","23.00","22.00","15.36M","-4.35%"
"05/16/2024","20.90","22.00","22.70","20.70","26.06M","-5.00%"
"05/17/2024","21.85","20.90","22.25","21.50","5.64M","4.55%"
"05/20/2024","20.90","21.85","21.40","20.50","8.36M","-4.35%"
"05/21/2024","20.80","20.90","21.50","20.70","23.96M","-0.48%"
"05/22/2024","20.35","20.80","20.85","20.30","31.28M","-2.16%"
