"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2023","59,338.76","59,208.11","59,500.39","59,197.74","552.68M","0.22%"
"06/27/2023","60,109.41","59,332.61","60,109.41","59,315.04","763.69M","1.30%"
"06/30/2023","60,968.27","60,109.02","60,968.82","60,109.02","998.08M","1.43%"
"07/03/2023","61,948.99","60,991.12","61,962.70","60,991.12","1.21B","1.61%"
"07/04/2023","60,715.04","61,949.24","61,949.24","60,713.56","1.11B","-1.99%"
"07/05/2023","61,523.57","60,720.02","61,572.41","60,705.92","846.32M","1.33%"
"07/06/2023","62,019.88","61,536.76","62,048.05","61,509.00","5.44B","0.81%"
"07/07/2023","63,040.87","62,023.17","63,040.87","62,023.17","1.23B","1.65%"
"07/10/2023","64,603.69","63,040.41","64,674.08","63,040.41","1.84B","2.48%"
"07/11/2023","65,669.29","64,603.69","65,999.97","64,516.55","844.72M","1.65%"
"07/12/2023","64,046.93","65,669.29","65,669.29","63,880.87","1.16B","-2.47%"
"07/13/2023","62,748.94","64,046.61","64,095.69","62,729.77","798.47M","-2.03%"
"07/14/2023","62,569.73","62,748.94","63,076.58","62,441.33","600.49M","-0.29%"
"07/17/2023","62,943.35","62,569.73","63,272.79","62,439.22","710.02M","0.60%"
"07/18/2023","63,766.72","62,943.35","63,766.72","62,874.10","868.80M","1.31%"
"07/19/2023","63,757.23","63,766.72","63,835.33","63,580.77","473.49M","-0.01%"
"07/20/2023","63,930.72","63,757.23","63,930.72","63,745.52","1.36B","0.27%"
"07/21/2023","65,003.39","63,938.12","65,015.76","63,938.12","770.78M","1.68%"
"07/24/2023","65,268.28","65,012.97","65,268.28","64,892.11","831.50M","0.41%"
"07/25/2023","65,991.02","65,268.28","66,017.94","65,072.82","553.52M","1.11%"
"07/26/2023","65,687.16","65,992.29","66,009.80","65,549.37","500.40M","-0.46%"
"07/27/2023","65,482.91","65,687.16","65,730.63","65,436.85","509.25M","-0.31%"
"07/28/2023","65,056.39","65,482.91","65,482.91","64,957.85","459.77M","-0.65%"
"07/31/2023","64,337.52","65,056.39","65,075.94","64,296.31","673.42M","-1.10%"
"08/01/2023","64,192.20","64,337.30","64,340.24","64,003.17","762.10M","-0.23%"
"08/02/2023","64,267.36","64,193.38","64,301.59","63,773.76","330.77M","0.12%"
"08/03/2023","65,263.06","64,267.36","65,323.20","64,267.36","445.28M","1.55%"
"08/04/2023","65,198.08","65,263.06","65,309.66","64,910.29","363.14M","-0.10%"
"08/07/2023","65,336.80","65,198.08","65,340.27","65,192.01","334.33M","0.21%"
"08/08/2023","65,309.65","65,336.71","65,393.80","65,212.96","317.81M","-0.04%"
"08/09/2023","64,167.39","65,385.45","65,396.93","64,167.39","238.04M","-1.75%"
"08/10/2023","65,205.35","64,167.39","65,205.35","64,154.19","361.20M","1.62%"
"08/11/2023","65,325.37","65,204.82","65,352.70","65,189.91","489.69M","0.18%"
"08/14/2023","65,210.49","65,325.37","65,358.76","65,183.22","259.04M","-0.18%"
"08/15/2023","64,928.98","65,023.80","65,028.46","64,860.22","280.47M","-0.43%"
"08/16/2023","64,625.28","64,928.98","65,128.21","64,549.58","291.68M","-0.47%"
"08/17/2023","64,663.78","64,625.28","64,663.78","64,452.84","320.35M","0.06%"
"08/18/2023","64,743.96","64,469.75","64,784.47","64,450.40","537.58M","0.12%"
"08/21/2023","65,202.41","64,721.09","65,202.41","64,690.33","231.60M","0.71%"
"08/22/2023","65,488.67","65,198.74","65,672.68","65,191.01","293.46M","0.44%"
"08/23/2023","65,492.92","65,488.67","65,567.61","65,416.76","348.32M","0.01%"
"08/24/2023","65,401.82","65,493.10","66,185.04","65,368.54","583.09M","-0.14%"
"08/25/2023","65,558.91","65,401.82","65,585.28","65,401.82","356.02M","0.24%"
"08/28/2023","66,151.38","65,558.91","66,165.04","65,558.91","311.12M","0.90%"
